"analysisId","targetId","comparatorId"
5,6492,6503
5,6492,6504
5,6492,6505
5,6492,6507
5,6492,6508
5,6492,6509
5,6492,6510
5,6492,6511
5,6492,6512
5,6492,6513
5,6492,6515
5,6492,6516
5,6492,6520
5,6492,6521
5,6492,6523
5,6492,6524
5,6492,6525
5,6492,6526
5,6492,6527
5,6492,6528
5,6492,6529
5,6492,6706
6,1006492,1106493
6,1006492,1106494
6,1006492,1106495
6,1006492,1106500
6,1006492,1106521
6,1006492,1106706
6,2006492,2106493
6,2006492,2106494
6,2006492,2106495
6,2006492,2106500
6,2006492,2106521
6,2006492,2106706
6,6492,106493
6,6492,106494
6,6492,106495
6,6492,106499
6,6492,106500
6,6492,106502
6,6492,106503
6,6492,106504
6,6492,106505
6,6492,106507
6,6492,106508
6,6492,106509
6,6492,106510
6,6492,106511
6,6492,106512
6,6492,106513
6,6492,106515
6,6492,106516
6,6492,106520
6,6492,106521
6,6492,106523
6,6492,106524
6,6492,106525
6,6492,106526
6,6492,106527
6,6492,106528
6,6492,106529
6,6492,106706
6,6492,6493
6,6492,6494
6,6492,6495
6,6492,6499
6,6492,6500
6,6492,6502
6,6492,6503
6,6492,6504
6,6492,6505
6,6492,6507
6,6492,6508
6,6492,6509
6,6492,6510
6,6492,6511
6,6492,6512
6,6492,6513
6,6492,6515
6,6492,6516
6,6492,6520
6,6492,6521
6,6492,6523
6,6492,6524
6,6492,6525
6,6492,6526
6,6492,6527
6,6492,6528
6,6492,6529
6,6492,6706
7,1006492,1106493
7,1006492,1106494
7,1006492,1106495
7,1006492,1106500
7,1006492,1106521
7,1006492,1106706
7,2006492,2106493
7,2006492,2106494
7,2006492,2106495
7,2006492,2106500
7,2006492,2106521
7,2006492,2106706
7,6492,106493
7,6492,106494
7,6492,106495
7,6492,106499
7,6492,106500
7,6492,106502
7,6492,106503
7,6492,106504
7,6492,106505
7,6492,106507
7,6492,106508
7,6492,106509
7,6492,106510
7,6492,106511
7,6492,106512
7,6492,106513
7,6492,106515
7,6492,106516
7,6492,106520
7,6492,106521
7,6492,106523
7,6492,106524
7,6492,106525
7,6492,106526
7,6492,106527
7,6492,106528
7,6492,106529
7,6492,106706
7,6492,6493
7,6492,6494
7,6492,6495
7,6492,6499
7,6492,6500
7,6492,6502
7,6492,6503
7,6492,6504
7,6492,6505
7,6492,6507
7,6492,6508
7,6492,6509
7,6492,6510
7,6492,6511
7,6492,6512
7,6492,6513
7,6492,6515
7,6492,6516
7,6492,6520
7,6492,6521
7,6492,6523
7,6492,6524
7,6492,6525
7,6492,6526
7,6492,6527
7,6492,6528
7,6492,6529
7,6492,6706
8,1006492,1106493
8,1006492,1106494
8,1006492,1106495
8,1006492,1106500
8,1006492,1106521
8,1006492,1106706
8,2006492,2106493
8,2006492,2106494
8,2006492,2106495
8,2006492,2106500
8,2006492,2106521
8,2006492,2106706
8,6492,106493
8,6492,106494
8,6492,106495
8,6492,106499
8,6492,106500
8,6492,106502
8,6492,106503
8,6492,106504
8,6492,106505
8,6492,106507
8,6492,106508
8,6492,106509
8,6492,106510
8,6492,106511
8,6492,106512
8,6492,106513
8,6492,106515
8,6492,106516
8,6492,106520
8,6492,106521
8,6492,106523
8,6492,106524
8,6492,106525
8,6492,106526
8,6492,106527
8,6492,106528
8,6492,106529
8,6492,106706
8,6492,6493
8,6492,6494
8,6492,6495
8,6492,6499
8,6492,6500
8,6492,6502
8,6492,6503
8,6492,6504
8,6492,6505
8,6492,6507
8,6492,6508
8,6492,6509
8,6492,6510
8,6492,6511
8,6492,6512
8,6492,6513
8,6492,6515
8,6492,6516
8,6492,6520
8,6492,6521
8,6492,6523
8,6492,6524
8,6492,6525
8,6492,6526
8,6492,6527
8,6492,6528
8,6492,6529
8,6492,6706
9,1006492,1106493
9,1006492,1106494
9,1006492,1106495
9,1006492,1106500
9,1006492,1106521
9,1006492,1106706
9,2006492,2106493
9,2006492,2106494
9,2006492,2106495
9,2006492,2106500
9,2006492,2106521
9,2006492,2106706
9,6492,106493
9,6492,106494
9,6492,106495
9,6492,106499
9,6492,106500
9,6492,106502
9,6492,106503
9,6492,106504
9,6492,106505
9,6492,106507
9,6492,106508
9,6492,106509
9,6492,106510
9,6492,106511
9,6492,106512
9,6492,106513
9,6492,106515
9,6492,106516
9,6492,106520
9,6492,106521
9,6492,106523
9,6492,106524
9,6492,106525
9,6492,106526
9,6492,106527
9,6492,106528
9,6492,106529
9,6492,106706
9,6492,6493
9,6492,6494
9,6492,6495
9,6492,6499
9,6492,6500
9,6492,6502
9,6492,6503
9,6492,6504
9,6492,6505
9,6492,6507
9,6492,6508
9,6492,6509
9,6492,6510
9,6492,6511
9,6492,6512
9,6492,6513
9,6492,6515
9,6492,6516
9,6492,6520
9,6492,6521
9,6492,6523
9,6492,6524
9,6492,6525
9,6492,6526
9,6492,6527
9,6492,6528
9,6492,6529
9,6492,6706
